show_title,review,rating,tags
my-hero-academia,"It is Here! This is the future of the Shonen genre. The bringer of the next generation. The creator of Naruto even promoted the series and said it was the real deal. It takes a profound and unique spin on the genre and has solid characters, an intriguing story and a fantastic soundtrack. Studio Bones is doing an excellent job with the adaptation as well. As a manga reader I'm very much looking forward to the future of this series.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"SHORT VERSION: This is one of the most thrilling and delightful anime of its era. It's even healthy for your brain. Just watch it.Some shows are solid but dull; some shows are enjoyable but unsubstantial. This series is solid enough but manages to be one of the most energetic, enjoyable viewing experiences I've ever had. I would not consider it the best anime ever made, but I might consider it the most flat-out enjoyable I've seen yet. The story is solid, the character designs quirky (obligatory pun)  and memorable, the music phenomenal (courtesy of Yuki Hayashi), but there's just a special soul to this one that elevates it above its peers. I was skeptical at first as it seemed like a somewhat cliche setup. In true shonen fashion, it spent a little while training up and then proceeded to completely obliterate my expectations. It took what I thought would be a tired story and breathed an overwhelming passion and life into it. It's filled to the brim with energy and heart, giving feels and frissons continually. It exemplifies the best of shonen: its messages of tenacity, crazy characters, thrilling battles, and sense of progression. It also avoids many of the problems typically associated with the genre, with (typically) better pacing and consistently spectacular animation. Studio Bones taking seasonal breaks between arcs to give them the time they deserve really gives this show an edge on its other cousins.Oh, and studies show that watching series where characters you identify overcome and win is actually healthy for your brain. Turns out, that thrilling feeling you get when your favorite character does something awesome or pushes through is your brain releasing certain chemicals to match them. And I've never seen a show that so consistently make me wanna stand up and cheer. This might be the most motivational thing you'll ever watch. NOW, GO BEYOND! PLUS ULTRA!",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"Had you ever found your favorite anime was ended because they didn't make enough rating or out of budget? This is the one i'm actually hoping for that not to happen. I'd buy the whole company and the writer to make this to the last episode, non-stop. Soundtrack was very entertaining and really spot on with the main theme. Character developing quite slow, but then when its reach the momentum, it will start rolling fast.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"Potential SpoilersMinor spoilers from Season 1.Mentions of Season 2 with no context.Gently explained character personalities if that counts as spoiling.The BuildupThis show highlights the benefits of being a strong devout follower of improvement, and incredibly hypes up the audience (it had definitely hyped me up) with Midoriya's efforts. Emphasized by All Might's admiration, the fact that Midoriya was able to perfectly clear the beach alone truly built the character whom wants to move forward despite being told that he cannot. Instead of sitting back in admiration, he chases his dreams to become higher than those he admires because it sets him further in his goal to become a hero. Midoriya as a character motivates the idea of improving by visualizing the power of aspiration as he eliminates his obstacles; he moves forward and trains himself despite being ridiculed by his classmates and Bakugo, who he looked up to, in the first half of Season 1. Furthermore, Midoriya successfully demonstrates his purpose of being a hero: to help others, especially during the entrance exam, and especially during the attack of the villains.The buildup of Midoriya's character in this show is very consistent and while it may be slightly cliche, it doesn't get old, not to mention how Midoriya doesn't have those cringy motivational scenes like many other main characters from other anime who have similar goals.Ratings if I were to be honest:Characters: 10/10Midoriya's character is especially well done, and the same can be said for the secondary characters such as Bakugo, Ochaco, Iida, and Todoroki. As far as the characters with a significant impact to the story, their development is spot-on in my opinion. Even side characters have consistent and lovable personalities.Story: 9/10 The story accompanies the other aspects of the show with a decent storyline. The main character has a goal to achieve that he cannot naturally complete like his peers, but continues to try and gets closer to succeeding. The main character also somehow moves forward despite the drawbacks. I think this is slightly cliche, but original stories tend to be harder to come by with the more shows and stories that come out each year, so the rating doesn't lose more than one point. I think the key to having a good story isn't about originality, but the execution of the story. Midoriya succeeds a lot by chance, again like most other characters, but he acknowledges that and takes it as his own responsibility to improve despite the positive outcomes (Shown in Season 2, you'll know what I mean when I say this). So his advancement isn't just pure nonsense, but it's explained throughout. Also, he doesn't randomly control his powers one time but then fails the other times. For example, he throws with the power of one finger, but still breaks his finger, and his perfect punch was luck, but the circumstances were well explained later.Voice Acting: 10/10I really love how the voices easily match the speaker's personality. Bakugo has an aggressive way of speaking, emphasizing superiority and arrogance, whereas Midoriya speaks lightly with a slight submission, emphasizing caution and awkwardness.Art/Design: 10/10 The art is fairly high quality and consistent, there are rarely any misplaced details or disproportion.In ConclusionAltogether, I know that, even without reading the manga, this anime is definitely going far. Season 2 is already very promising, and I look forward to seeing the rest of this anime through.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"Ok so I kept saying I wouldn't watch this show because I wasn't crazy about the animation.....but...finally after everyone wouldn't shut up about it, I decided to give it a go. I was hooked by episode one, of course. Just like famous anime protagonists Naruto, Gon, etc., Midoriya is a character that you just can't help but fall in love with. The other characters are developing well too and the fights are awesome. I can't wait to see Midoriya grow as a character. I definitely recommend.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"I was browsing C.R. for kicks and I saw this one and figured, okay, I'll give it a shot. I had heard zero about the manga and zero about the show, so this was a fresh new world to delve into. Three days in and I finished up season 2 ep 21 and I'm eager for more. Easy binge and easy to get hooked on. Good storytelling and characters that are likeable. There's nothing about this show I don't like. Everything seems to flow well in the episodes and I'm generally interested in the backstories of characters. Well worth the watch.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"If ""X-men"" and ""Sky High"" had a Japanese love-child, this would be it. With high schools for teens with superpowers called ""quirks"" training to become heroes and fight bad dudes.If you like:- Goofy characters- Fun, typical, cheezy storyline- BADASS fight scenes- A nerdy main character who cries a LOT but fights like a BEAST- and UNITED STATES OF SMASH!Then you'll love this anime. Plus Ultra.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"Does an anime have to be completely original, to be a masterpiece? Should the story be unpredictable for it to be good?I don't think so.There is beauty in simplicity.The portrayal of every single component of the specific fictional world is the most important point in creating a series.Despite having your typical shounen, (young boy has a dream he wants to achieve so he has to overcome many obstacles on its way despite being an underdog in comparison to many other characters) this series does everything right so far. It does not try to hard with its plot, but still offers a big cast of interesting characters and a story where you can understand and share your feelings with the protagonist.Reaching episode 34, this work woke my feels more than any other series I have seen yet.  The solid art and the emotion generating sounds make a great deal of a this simple, yet for me perfect story.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"I admit, I was extremely skeptical about this anime. I saw the 5 star reviews, I heard it was recommended by the creator of Naruto but when I saw the art and the first episode, I just didn't get it. I could not have been more wrong.This is...Sky High (old movie some may remember) meets X-Men. Its an incredible story with great characters and although the animation isn't always the best, the fights are really fun to watch unfold. The story is unfolding perfectly and character development is being handled expertly. I can't wait to watch more and I recommend this to anyone. An easy 5 Stars.",5,"['action', 'fantasy', 'shonen', 'adventure']"
my-hero-academia,"I got my brother, who doesn't like anime, to get hooked on this! Had him hooked on it since season 1 was released.. That should be enough to make you want to watch it already. This will instantly become one of your favorites if not #1. We are both super excited for Season 4! PLUS ULTRA!Every character in this series is so ""Quirky"" that brings a special individualism to each one :P. The story leaves you in great suspense and theories just keep popping into your head. This was a genius setup as the author can literally do ANYTHING he wants this story. Still the great feel as most of the top shonen, but in a world so unique and an MC that draws out your emotions. This series would turn a lot of non-anime watchers into fans..Enjoy~",5,"['action', 'fantasy', 'shonen', 'adventure']"
